number_of_monitoring_stations,hour,dayofweek,month,is_weekend,aqi_roll_mean_3,aqi_roll_std_3,aqi_roll_mean_24,aqi_roll_std_24,aqi_lag_1,aqi_lag_24,stations_lag_1,stations_lag_24
1.9180366469731998,1,5,8,1,58.69276113878606,0.12786871787504073,58.43367400962364,0.15478626196975595,58.62882096069869,58.183848781010354,1.9170305676855894,1.8762326950099875
1.9190427262608099,2,5,8,1,58.839988111468976,0.21116715078085027,58.469005670653665,0.1921565230155563,58.839988111468976,58.20319539751854,1.9180366469731998,1.8780065155611005
1.9200488055484202,3,5,8,1,59.05115526223926,0.21116715078108472,58.512329853944614,0.24431042778259937,59.051155262239256,58.22254201402673,1.9190427262608099,1.8797803361122138
1.9210548848360305,4,5,8,1,59.26232241300954,0.21116715078132542,58.56364655949648,0.306473794033785,59.26232241300954,58.24188863053492,1.9200488055484202,1.881554156663327
1.9220609641236406,5,5,8,1,59.47348956377983,0.21116715078155812,58.62295578730927,0.3753891560836799,59.47348956377983,58.26123524704311,1.9210548848360305,1.88332797721444
1.923067043411251,6,5,8,1,59.68465671455011,0.2111671507817926,58.69025753738299,0.44892896951751027,59.684656714550115,58.2805818635513,1.9220609641236406,1.885101797765553
1.9240731226988612,7,5,8,1,59.8958238653204,0.2111671507820333,58.765551809717614,0.5256082013473256,59.895823865320395,58.299928480059485,1.923067043411251,1.8868756183166662
1.9250792019864713,8,5,8,1,60.10699101609068,0.211167150782274,58.848838604313165,0.6042967383045286,60.10699101609068,58.31927509656767,1.9240731226988612,1.8886494388677795
1.9260852812740816,9,5,8,1,60.31815816686097,0.21116715078250847,58.940117921169644,0.684065944931965,60.31815816686097,58.33862171307587,1.9250792019864713,1.8904232594188926
1.927091360561692,10,5,8,1,60.52932531763125,0.21116715078274917,59.039389760287044,0.7641049268288053,60.52932531763125,58.357968329584054,1.9260852812740816,1.8921970799700056
1.928097439849302,11,5,8,1,60.740492468401534,0.21116715078298987,59.146654121665364,0.8436719256753542,60.740492468401534,58.37731494609224,1.927091360561692,1.8939709005211187
1.9291035191369124,12,5,8,1,60.951659619171814,0.21116715078322612,59.2619110053046,0.9220637779871852,60.95165961917182,58.39666156260043,1.928097439849302,1.8957447210722318
1.9301095984245227,13,5,8,1,61.16282676994211,0.21116715078345438,59.38516041120476,0.9985948760834479,61.16282676994211,58.416008179108616,1.9291035191369124,1.897518541623345
1.9311156777121328,14,5,8,1,61.37399392071239,0.21116715078368883,59.51640233936583,1.0725811058673256,61.37399392071239,58.4353547956168,1.9301095984245227,1.8992923621744582
1.932121756999743,15,5,8,1,61.58516107148267,0.21116715078392956,59.65563678978783,1.1433261708790567,61.58516107148267,58.45470141212499,1.9311156777121328,1.9010661827255713
1.9331278362873534,16,5,8,1,61.79632822225295,0.2111671507841578,59.80286376247074,1.2101086350584407,61.79632822225296,58.474048028633185,1.932121756999743,1.9028400032766843
1.9341339155749635,17,5,8,1,62.00749537302324,0.21116715078439227,59.958083257414586,1.2721684156024797,62.00749537302324,58.49339464514137,1.9331278362873534,1.9046138238277976
1.9351399948625738,18,5,8,1,62.21866252379353,0.21116715078463297,60.12129527461935,1.328691542550223,62.218662523793526,58.51274126164956,1.9341339155749635,1.9063876443789107
1.9361460741501841,19,5,8,1,62.42982967456381,0.21116715078486567,60.29249981408503,1.3787918442121685,62.42982967456381,58.532087878157746,1.9351399948625738,1.9081614649300238
1.9371521534377942,20,5,8,1,62.64099682533409,0.21116715078510015,60.47169687581163,1.4214877988404393,62.6409968253341,58.55143449466593,1.9361460741501841,1.909935285481137
1.9381582327254046,21,5,8,1,62.85216397610438,0.21116715078534085,60.658886459799156,1.455672005434796,62.85216397610438,58.57078111117413,1.9371521534377942,1.91170910603225
1.9391643120130149,22,5,8,1,63.063331126874665,0.21116715078558154,60.854068566047594,1.4800693269588485,63.063331126874665,58.590127727682315,1.9381582327254046,1.9134829265833633
1.940170391300625,23,5,8,1,63.274498277644945,0.211167150785816,61.05724319455697,1.4931772427924936,63.27449827764495,58.6094743441905,1.9391643120130149,1.9152567471344764
